"GENE"	"PATTERN"	"ALLELES"
"IGHV4-59"	"bp11"	"12"
"IGHV4-59"	"bp12"	"13"
"IGHV4-61"	"bp01"	"01"
"IGHV4-61"	"bp02"	"02"
"IGHV4-61"	"bp03"	"03"
"IGHV4-61"	"bp04"	"04"
"IGHV4-61"	"bp05"	"05"
"IGHV4-61"	"bp06"	"06"
"IGHV4-61"	"bp07"	"07"
"IGHV4-61"	"bp08"	"08"
"IGHV4-61"	"bp09"	"09"
"IGHV4-61"	"bp10"	"10"
"IGHV5-10-1"	"bp01"	"01,03"
"IGHV5-10-1"	"bp02"	"02"
"IGHV5-10-1"	"bp03"	"04"
"IGHV5-51"	"bp01"	"01,03"
"IGHV5-51"	"bp02"	"02"
"IGHV5-51"	"bp03"	"04"
"IGHV5-51"	"bp04"	"05"
"IGHV5-51"	"bp05"	"06"
"IGHV5-51"	"bp06"	"07"
"IGHV5-78"	"bp01"	"01"
"IGHV6-1"	"bp01"	"01,02"
"IGHV6-1"	"bp02"	"03"
"IGHV7-34-1"	"bp01"	"01"
"IGHV7-34-1"	"bp02"	"02"
"IGHV7-34-1"	"bp03"	"03"
"IGHV7-4-1"	"bp01"	"01"
"IGHV7-4-1"	"bp02"	"02"
"IGHV7-4-1"	"bp03"	"03"
"IGHV7-4-1"	"bp04"	"04"
"IGHV7-4-1"	"bp05"	"05"
"IGHV7-40"	"bp01"	"03"
"IGHV7-81"	"bp01"	"01"
"IGHV8-51-1"	"bp01"	"01"
"IGHV8-51-1"	"bp02"	"02"
"IGHV8-51-1"	"bp03"	"03"
"IGHV3-16"	"bp01"	"01,02"
"IGHV3-20"	"bp01"	"01,02"
"IGHV3-20"	"bp02"	"03,04"
"IGHV3-22"	"bp01"	"01,02"
"IGHV3-73"	"bp01"	"01,02"
